"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
23,142.0511,TRUE,FALSE,"Aminoadipic acid","[M-H2O-H]-",96.7,0.8929,0.3,"Aminoadipic acid (142.0511)"
58,184.985,TRUE,FALSE,"Phosphoglyceric acid","[M-H]-",83,0.8929,0.9,"Phosphoglyceric acid (184.9850)"
154,338.9867,TRUE,FALSE,"Fructose bisphosphate","[M-H]-",70,0.8929,0.6,"Fructose bisphosphate (338.9867)"
49,175.0278,TRUE,FALSE,"Ascorbic acid","[M-H]-",15.3,0.8571,-0.4,"Ascorbic acid (175.0278)"
54,179.046,TRUE,FALSE,"Nicotinuric acid","[M-H]-",92.8,0.7857,-0.1,"Nicotinuric acid (179.0460)"
73,213.0047,TRUE,FALSE,"Citric acid (citrate)","[M+Na-2H]-",29.3,0.7857,0.1,"Citric acid (citrate) (213.0047)"
287,579.0332,TRUE,FALSE,"UDP-hexuronic acid","[M-H]-",46.5,0.7857,-0.1,"UDP-hexuronic acid (579.0332)"
291,606.0729,TRUE,FALSE,"Uridine diphosphate-N-acetylhexosamine","[M-H]-",88.9,0.7857,0.3,"Uridine diphosphate-N-acetylhexosamine (606.0729)"
82,227.2017,FALSE,TRUE,NA,NA,NA,0.75,0.4,"m/z 227.2017 (unknown)"
156,341.1044,TRUE,FALSE,"Trehalose","[M-H]-",34.2,0.75,-0.1,"Trehalose (341.1044)"
284,565.0482,TRUE,FALSE,"Uridine diphosphate glucose","[M-H]-",96.2,0.75,0.7,"Uridine diphosphate glucose (565.0482)"
166,371.0794,TRUE,FALSE,"Feruloylquinolactone","[M+Na-2H]-",38.6,0.6429,-0.1,"Feruloylquinolactone (371.0794)"
173,384.9969,TRUE,FALSE,"Inosine monophosphate","[M+K-2H]-",84,0.6429,0.8,"Inosine monophosphate (384.9969)"
250,505.9887,TRUE,FALSE,"Adenosine triphosphate","[M-H]-",97.4,0.4286,0,"Adenosine triphosphate (505.9887)"
100,257.0804,TRUE,FALSE,"Ribothymidine","[M-H]-",51.8,0.3929,-0.9,"Ribothymidine (257.0804)"
9,126.9806,TRUE,FALSE,"L-Lactic acid (lactate)","[M+K-2H]-",86.4,0.3571,-0.4,"L-Lactic acid (lactate) (126.9806)"
80,226.9969,TRUE,FALSE,"Citric acid (citrate)","[M+Cl]-",88.9,0.3214,0.9,"Citric acid (citrate) (226.9969)"
286,576.0238,TRUE,FALSE,"Cyclic-ADP-ribose","[M+Cl]-",41.6,0.3214,-0.1,"Cyclic-ADP-ribose (576.0238)"
53,179.0352,TRUE,FALSE,"Hydroxyphenylpyruvate","[M-H]-",94.8,0.2143,0.1,"Hydroxyphenylpyruvate (179.0352)"
91,242.08,TRUE,FALSE,"Cytidine","[M-H]-",63.5,0.2143,-0.4,"Cytidine (242.0800)"
135,308.0956,TRUE,FALSE,"N-Acetylneuraminic acid","[M-H]-",49.6,0.2143,0.9,"N-Acetylneuraminic acid (308.0956)"
2,111.0098,TRUE,FALSE,"Furoic acid","[M-H]-",54.8,0.1786,0.4,"Furoic acid (111.0098)"
104,264.9548,TRUE,FALSE,"Diphosphoglyceric acid","[M-H]-",46.5,0.1786,0.2,"Diphosphoglyceric acid (264.9548)"
163,362.0494,TRUE,FALSE,"Guanosine monophosphate","[M-H]-",81.9,0.1786,0.7,"Guanosine monophosphate (362.0494)"
51,177.0424,TRUE,FALSE,"Gulonolactone","[M-H]-",43.9,0.0357,-0.3,"Gulonolactone (177.0424)"
45,171.0068,TRUE,FALSE,"Glycerol phosphate","[M-H]-",88,0,-0.7,"Glycerol phosphate (171.0068)"
64,197.0223,TRUE,FALSE,"Anhydrohexose","[M+Cl]-",98,0,-0.7,"Anhydrohexose (197.0223)"
181,402.9993,TRUE,FALSE,"Uridine diphosphate","[M-H]-",45.4,-0.0714,0.3,"Uridine diphosphate (402.9993)"
39,166.9738,TRUE,FALSE,"Phosphoenolpyruvic acid","[M-H]-",60.3,-0.4286,0.7,"Phosphoenolpyruvic acid (166.9738)"
105,267.0759,TRUE,FALSE,"Inosine","[M-H]-",54.9,-0.4286,-0.1,"Inosine (267.0759)"
50,176.9361,TRUE,FALSE,"Pyrophosphate","[M-H]-",96.2,-0.4643,0.4,"Pyrophosphate (176.9361)"
74,213.0172,TRUE,FALSE,"Deoxypentose phosphate","[M-H]-",93.4,-0.5,0.3,"Deoxypentose phosphate (213.0172)"
141,316.0544,FALSE,TRUE,NA,NA,NA,-0.5,0.1,"m/z 316.0544 (unknown)"
103,264.062,FALSE,TRUE,NA,NA,NA,-0.5357,-0.2,"m/z 264.0620 (unknown)"
151,333.0636,TRUE,FALSE,"docosatetraenoic acid (C22:4)","[M-H]-",34.9,-0.6071,0.4,"docosatetraenoic acid (C22:4) (333.0636)"
307,664.1204,TRUE,FALSE,"NADH","[M-H]-",78,-0.6786,0.7,"NADH (664.1204)"
60,191.0217,TRUE,FALSE,"Citrate","[M-H]-",48.2,-0.7143,0.4,"Citrate (191.0217)"
32,154.0531,FALSE,TRUE,NA,NA,NA,-0.75,0.9,"m/z 154.0531 (unknown)"
211,442.0181,TRUE,FALSE,"Guanosine diphosphate","[M-H]-",88,-0.75,0.4,"Guanosine diphosphate (442.0181)"
17,134.9871,FALSE,TRUE,NA,NA,NA,-0.7857,0.3,"m/z 134.9871 (unknown)"
59,187.0757,TRUE,FALSE,"Acetylglutamine","[M-H]-",13.3,-0.7857,0.1,"Acetylglutamine (187.0757)"
16,134.0479,TRUE,FALSE,"Adenine","[M-H]-",73.1,-0.8214,-0.1,"Adenine (134.0479)"
33,154.0611,TRUE,FALSE,"Histidine","[M-H]-",65.2,-0.8929,-0.2,"Histidine (154.0611)"
55,179.0565,TRUE,FALSE,"L-Lactic acid (lactate)","[2M-H]-",90.3,-0.8929,-0.3,"L-Lactic acid (lactate) (179.0565)"
61,192.9887,FALSE,TRUE,NA,NA,NA,-0.8929,0.1,"m/z 192.9887 (unknown)"
72,212.0713,TRUE,FALSE,"Phenylaminobenzoic acid","[M-H]-",90.1,-0.8929,0.7,"Phenylaminobenzoic acid (212.0713)"
76,220.0841,TRUE,FALSE,"Hexosamine","[M-H]-",67.9,-0.8929,1,"Hexosamine (220.0841)"
155,339.3273,TRUE,FALSE,"C22:0","[M-H]-",94.1,-0.8929,0.3,"C22:0 (339.3273)"
199,426.0248,TRUE,FALSE,"Adenosine diphosphate","[M-H]-",68.7,-0.8929,0.7,"Adenosine diphosphate (426.0248)"
35,158.9258,TRUE,FALSE,"Pyrophosphate","[M-H2O-H]-",87.5,-0.9286,0.4,"Pyrophosphate (158.9258)"
