"mz","count","freq","mean","max","nz","mz_curated","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","metabolite_hmdb","off_tissue_flagged","in_8772_set"
192.988689418021,64165,0.690337152930807,0.771298280153774,9.62561811027373,62655,192.988689418021,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
193.03882742583,11767,0.140359189070075,0.0838794562811622,3.79003116843626,12739,193.03882742583,TRUE,FALSE,"Glucuronic acid","[M-H]-",10.6,"HMDB0000127",FALSE,TRUE
196.038696324356,81632,0.877247686205377,1.65792192720148,18.076548883685,79619,196.038696324356,TRUE,TRUE,"Indoleacetic acid","[M+Na-2H]-",82.1,"HMDB0000197",FALSE,TRUE
197.02230201414,69594,0.752247686205377,0.979635168236002,6.93631179084476,68274,197.02230201414,TRUE,FALSE,"Anhydrohexose","[M+Cl]-",98,"HMDB0000640",TRUE,TRUE
198.08797487522,9803,0.19504186866461,0.144531316908945,4.66673895952504,17702,198.08797487522,TRUE,FALSE,"Acetylcitrulline","[M-H2O-H]-",88.9,"HMDB0000856",FALSE,TRUE
199.003048494854,32594,0.299889819303658,0.275842461065763,8.94141503754634,27218,199.003048494854,TRUE,FALSE,"Erythrose phosphate","[M-H]-",56.4,"HMDB0001321",FALSE,TRUE
202.085970354,11301,0.131643895989423,0.0785872616266922,3.09301575898244,11948,202.085970354,TRUE,FALSE,"Indolebutyrate","[M-H]-",65.8,"HMDB0002096",FALSE,TRUE
203.027441383671,79759,0.790480387836051,1.37785555832885,11.3443957822273,71744,203.027441383671,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
205.04356372673,68568,0.725242397531952,1.3510010337247,12.297602370071,65823,205.04356372673,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
208.039232855482,47008,0.448931247245483,0.407954760959173,5.5481109670909,40745,208.039232855482,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
208.074956151697,65200,0.714048038783605,1.20624302112396,14.2202606630976,64807,208.074956151697,FALSE,TRUE,NA,NA,NA,NA,FALSE,TRUE
212.071282206377,10609,0.116505068312032,0.0681701579948317,2.71862376037239,10574,212.071282206377,TRUE,FALSE,"Phenylaminobenzoic acid","[M-H]-",90.1,"HMDB0246312",FALSE,TRUE
213.017242657728,11312,0.12423975319524,0.0755307683490896,4.64912119368175,11276,213.017242657728,TRUE,FALSE,"Deoxypentose phosphate","[M-H]-",93.4,"HMDB0001213",FALSE,TRUE
