"sid","group","instance","class_orig","class_jm","status","consensus_class"
"AO_20h_sl4A_sec3a","20h",1,"mixed","apical_out","disagree",NA
"AO_20h_sl4A_sec3a","20h",2,"mixed",NA,"only_orig",NA
"AO_20h_sl4A_sec3a","20h",3,"mixed","apical_out","disagree",NA
"AO_20h_sl4A_sec3a","20h",4,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3a","20h",5,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3a","20h",6,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3a","20h",7,"basolateral_out","mixed","disagree",NA
"AO_20h_sl4A_sec3a","20h",8,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3b","20h",1,"mixed","mixed","agree","mixed"
"AO_20h_sl4A_sec3b","20h",2,"mixed","apical_out","disagree",NA
"AO_20h_sl4A_sec3b","20h",3,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3b","20h",4,"basolateral_out","mixed","disagree",NA
"AO_20h_sl4A_sec3b","20h",5,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3b","20h",6,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec3b","20h",7,NA,NA,"none",NA
"AO_20h_sl4A_sec4a","20h",1,"basolateral_out","basolateral_out","agree","basolateral_out"
"AO_20h_sl4A_sec4a","20h",2,"basolateral_out","mixed","disagree",NA
"AO_20h_sl4A_sec4b","20h",1,"basolateral_out","mixed","disagree",NA
"AO_20h_sl4A_sec5a","20h",1,NA,NA,"none",NA
"AO_20h_sl4A_sec5b","20h",2,"mixed","mixed","agree","mixed"
"AO_20h_sl4A_sec5b","20h",3,"mixed","mixed","agree","mixed"
"AO_20h_sl4A_sec5b","20h",4,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec5b","20h",5,"apical_out","apical_out","agree","apical_out"
"AO_20h_sl4A_sec5b","20h",6,NA,"mixed","only_jm",NA
"AO_20h_sl4A_sec5b","20h",7,"apical_out","mixed","disagree",NA
