"sid","instance","apical_class","rho_out","far_index","near50","near100"
"AO_20h_sl4A_sec1a",3,"apical_out",-0.4,0.309422473302084,1.03542977309913e-05,9.20516284689057e-06
"AO_20h_sl4A_sec1a",4,"apical_out",0.485714285714286,0.299121739798457,9.11025776975716e-06,8.5350727671342e-06
"AO_20h_sl4A_sec1a",5,"mixed",-0.828571428571429,0.136505472071451,1.19259412472672e-05,1.08710407279858e-05
"AO_20h_sl4A_sec1a",6,"apical_out",0.142857142857143,0.47027625125583,1.56514824852792e-05,1.47762051748803e-05
"AO_20h_sl4A_sec1a",8,"mixed",0.8,0.692922197389135,6.22040338289615e-06,7.48118227182068e-06
"AO_20h_sl4A_sec1a",10,"apical_out",0.2,0.29002049986506,6.92773837825145e-06,8.43223223612811e-06
"AO_20h_sl4A_sec1a",12,"apical_out",-0.257142857142857,0.10071710044046,1.33750053672272e-05,1.4400310685301e-05
"AO_20h_sl4A_sec1a",13,"basolateral_out",-0.714285714285714,0.263006668534989,1.18906689542214e-05,1.1883243009944e-05
"AO_20h_sl4A_sec1a",16,"apical_out",0.371428571428571,0.0949649119833665,8.85844277770152e-06,8.12622165534982e-06
"AO_20h_sl4A_sec1a",17,"apical_out",0.314285714285714,0.185517355705759,1.52921793613525e-05,1.4656141691151e-05
"AO_20h_sl4A_sec1b",1,"mixed",-0.0857142857142857,0.161547980327601,7.09430341454717e-06,8.0399851521925e-06
"AO_20h_sl4A_sec2a",1,"apical_out",-0.428571428571429,0.203757104823127,1.63285182010721e-05,1.4605068523673e-05
"AO_20h_sl4A_sec2a",2,"apical_out",0.0857142857142857,0.077990351332356,1.96556360498877e-05,1.47975963887554e-05
"AO_20h_sl4A_sec2a",5,"apical_out",0.5,NA,2.68630126156704e-05,2.68630126156704e-05
"AO_20h_sl4A_sec2b",1,"apical_out",-0.6,0.37432755907886,1.1536648187557e-05,1.0343893376674e-05
"AO_20h_sl4A_sec2b",2,"apical_out",-0.6,0.216346798483755,1.56966095882178e-05,9.97486403086221e-06
"AO_20h_sl4A_sec2b",5,"mixed",0.535714285714286,0.412060848916299,1.06955813001458e-05,9.31906732120657e-06
"AO_20h_sl4A_sec2b",6,"mixed",-0.828571428571429,0.345254929664076,1.51085856767133e-05,1.33144582854983e-05
"AO_20h_sl4A_sec2b",7,"apical_out",0.0714285714285714,0.212981898912001,1.20140879979495e-05,1.10038180822401e-05
"AO_20h_sl4A_sec2b",8,"mixed",-0.542857142857143,0.215009812259777,1.40800446883283e-05,1.20074787508981e-05
"AO_20h_sl4A_sec3a",1,"mixed",-0.857142857142857,0.221178301916474,3.18226342199998e-05,2.35416124230718e-05
"AO_20h_sl4A_sec3a",4,"apical_out",-0.964285714285714,0.381297785832954,2.4058973146912e-05,2.1554439604284e-05
"AO_20h_sl4A_sec3a",5,"apical_out",-0.9,0.203833800854176,1.6130476113081e-05,1.32411759040471e-05
"AO_20h_sl4A_sec3a",6,"apical_out",-0.942857142857143,0.0692765559551303,1.65981800414497e-05,1.35182197000671e-05
"AO_20h_sl4A_sec3a",7,"mixed",0.942857142857143,0.499954361829844,1.20356752549939e-05,1.44423935648052e-05
"AO_20h_sl4A_sec3a",8,"apical_out",-0.964285714285714,0.27654816717828,2.94238289553838e-05,2.50639634984868e-05
"AO_20h_sl4A_sec3b",1,"mixed",-0.8,0.169456214952175,2.07438253562945e-05,2.02436800117231e-05
"AO_20h_sl4A_sec3b",2,"apical_out",-0.75,0.161947751406559,2.74371154164265e-05,2.57075618476353e-05
"AO_20h_sl4A_sec3b",3,"apical_out",-0.607142857142857,0.106631267244608,3.07048196011352e-05,2.76303486966322e-05
"AO_20h_sl4A_sec3b",4,"mixed",-0.942857142857143,0.0469652422914882,1.92109408243583e-05,1.34104840431983e-05
"AO_20h_sl4A_sec3b",5,"apical_out",0.0857142857142857,0.0382458483326124,1.26542407460906e-05,1.48676218310884e-05
"AO_20h_sl4A_sec3b",6,"apical_out",0.872081599272381,0.20141625403156,2.10347846488427e-05,2.39836630850526e-05
"AO_20h_sl4A_sec4a",1,"basolateral_out",0.464285714285714,1.21683955849636,7.34043488322044e-06,5.76084416858518e-06
"AO_20h_sl4A_sec4a",2,"mixed",-0.464285714285714,0.573405100168515,7.5329531107459e-06,6.946816399774e-06
"AO_20h_sl4A_sec4b",1,"basolateral_out",-0.314285714285714,0.418022872477321,9.27222029719753e-06,8.1498239001081e-06
"AO_20h_sl4A_sec5b",2,"mixed",-0.642857142857143,0.568106977649474,1.25930961079674e-05,1.17014683814993e-05
"AO_20h_sl4A_sec5b",3,"mixed",-0.657142857142857,0.279264820335222,1.25728924419459e-05,1.0011971727897e-05
"AO_20h_sl4A_sec5b",4,"apical_out",-0.828571428571429,1.5249332208143,9.90298904603824e-06,7.19875165178649e-06
"AO_20h_sl4A_sec5b",5,"apical_out",0.1,0.175627330481637,1.31582196875016e-05,1.06495177860027e-05
"AO_20h_sl4A_sec5b",7,"mixed",-0.357142857142857,0.293757882661476,1.75091076244928e-05,1.57010529980045e-05
