"sid","group","instance","apical_class","n_px","cit","dha","cit_rel","dha_rel","cit_mtic","dha_mtic","cit_dha"
"AO_0h_sl6A_sec4b","0h",6,"basolateral_out",121,7.58394899910313e-06,8.29612041601518,-0.148920568750911,-0.197032303903953,6.56310489481461e-07,0.873553586374322,-20.0610561416026
"AO_0h_sl6A_sec4b","0h",7,"basolateral_out",104,2.23741819034629e-05,12.1096694239475,1.41189319596277,0.348618438470016,2.77170781393908e-06,1.18748533693234,-19.0458931192629
"AO_0h_sl6A_sec5a","0h",3,"basolateral_out",129,8.60720932529247e-06,12.0169648188084,-2.61753133418937,-0.431394269285368,7.65992481516662e-07,1.03671203076481,-20.4130236627583
"AO_0h_sl6A_sec5a","0h",4,"apical_out",398,9.23576344914582e-05,17.7204099923714,0.806082428021785,0.128945160438854,5.80800514132241e-06,1.26788040346722,-17.5497493302714
"AO_0h_sl6A_sec5a","0h",5,"apical_out",164,9.7636117488077e-05,16.2053122924442,0.886266132760201,0,6.41310984195468e-06,1.1627572391861,-17.3406204650941
"AO_0h_sl6A_sec5a","0h",6,"mixed",190,2.73876821861332e-05,15.6260603695326,-0.947621618330981,-0.0525127300841329,1.80048572119383e-06,1.25486809526398,-19.1219954861012
"AO_0h_sl6A_sec5a","0h",7,"apical_out",74,5.28223612746366e-05,16.2927500963269,0,0.00776331763623303,3.88262417995099e-06,1.22083756680579,-18.2346499154906
"AO_0h_sl6A_sec5b","0h",1,"mixed",528,5.78051365863548e-05,13.3322699139172,1.07813113795144,0.168106491031038,4.5441937038095e-06,1.11882453519498,-17.8152933029198
"AO_0h_sl6A_sec5b","0h",2,"mixed",87,2.36081205197164e-05,13.6675159348985,-0.213783368023594,0.203935118155324,2.12142660466375e-06,1.09799803620683,-19.1430364360191
"AO_0h_sl6A_sec5b","0h",4,"mixed",142,2.52709095505801e-05,11.1549212915209,-0.115588968201813,-0.0891356053699034,2.23834845014946e-06,0.97743464328263,-18.7517713126721
"AO_0h_sl6A_sec5b","0h",6,"mixed",332,1.86238156672298e-05,10.8412567824876,-0.555917874819116,-0.130283927302461,1.56064815902268e-06,1.04737444244234,-19.1509518973569
"AO_0h_sl6A_sec5b","0h",7,"mixed",162,6.30794780898038e-05,16.6507976180175,1.20410416463506,0.488775348511819,4.39188930127936e-06,1.23960526776643,-18.009989133717
"AO_0h_sl6A_sec5b","0h",9,"mixed",134,1.66359774057002e-05,11.8658540215742,-0.718759928209882,0,1.40671597256102e-06,1.10443221163161,-19.4440778780501
"AO_0h_sl6A_sec6a","0h",1,"mixed",501,4.3385214166517e-05,10.8134895485567,0.732964458379808,0.0380528003435049,3.27143862663502e-06,1.07171468298721,-17.9271972790632
"AO_0h_sl6A_sec6a","0h",3,"basolateral_out",273,2.59202039284798e-05,10.6018917190625,-0.0101619237710057,0.00954235074694237,2.47753396589019e-06,1.09929421600522,-18.6418132116174
"AO_0h_sl6A_sec6a","0h",4,"basolateral_out",202,2.62866416914838e-05,10.4621073142575,0.0100908464948284,-0.00960588675033111,2.60231669382213e-06,1.09239242940788,-18.6024122038543
