page	subtype	color	x_center	y_center_from_top	x0	y0	x1	y1	path	contents
8	/Text	0.588,0.263,0.988	391.31	498.03						out
8	/Popup		1100.0	532.03						
8	/Text	0.588,0.263,0.988	537.16	452.49						
8	/Popup		896.67	508.43						
8	/Text	0.588,0.263,0.988	537.16	452.49						mixed
8	/Popup		1100.0	486.49						
8	/Text	0.588,0.263,0.988	657.39	507.27						out
8	/Popup		1100.0	541.27						
9	/Text	0.588,0.263,0.988	268.93	344.35						out
9	/Popup		1100.0	378.35						
9	/Text	0.588,0.263,0.988	564.9	292.41						mixed
9	/Popup		1100.0	326.41						
9	/Text	0.588,0.263,0.988	840.95	414.79						mixed
9	/Popup		1100.0	448.79						
9	/Text	0.588,0.263,0.988	487.35	535.73						out
9	/Popup		896.67	578.59						
9	/Text	0.588,0.263,0.988	766.25	470.99						out
9	/Popup		896.67	513.84						
9	/Text	0.588,0.263,0.988	435.42	337.95						out
9	/Popup		1100.0	371.95						
10	/Text	0.588,0.263,0.988	613.28	218.42						mixed
10	/Popup		1100.0	268.78						
10	/Text	0.588,0.263,0.988	488.07	473.12						out
10	/Popup		1100.0	507.12						
10	/Text	0.588,0.263,0.988	610.44	424.75						out
10	/Popup		1100.0	458.75						
10	/Text	0.588,0.263,0.988	394.86	533.6						out
10	/Popup		896.67	576.45						
10	/Ink	0.024,0.541,0.11	564.3	251.31	557.63	179.78	580.46	299.98	566.00,299.98;566.00,299.22;566.00,298.45;566.00,297.69;565.24,296.17;565.24,294.65;565.24,293.89;564.48,293.89;564.48,293.13;564.48,292.37;563.72,292.37;563.72,291.61;563.72,290.85;563.72,290.09;563.72,289.33;563.72,288.56;563.72,287.81;563.72,287.04;563.72,286.28;562.96,285.52;562.96,284.76;562.20,284.76;562.20,284.00;562.20,283.24;561.44,283.24;561.44,282.48;560.68,282.48;560.68,281.72;559.92,281.72;559.92,280.96;559.15,280.20;559.15,279.44;559.15,278.68;558.39,278.68;558.39,277.92;558.39,277.15;557.63,276.39;557.63,275.63;557.63,274.87;557.63,274.11;557.63,273.35;557.63,272.59;557.63,271.83;557.63,271.07;557.63,270.31;557.63,269.55;557.63,268.79;557.63,268.02;557.63,266.50;557.63,265.74;557.63,264.98;557.63,264.22;557.63,263.46;557.63,262.70;557.63,261.18;557.63,260.42;557.63,259.66;558.39,258.90;558.39,258.13;558.39,257.37;558.39,256.61;558.39,255.85;558.39,255.09;558.39,254.33;559.15,254.33;559.15,253.57;559.15,252.81;559.92,252.05;560.68,250.53;560.68,249.77;561.44,249.01;561.44,248.25;562.20,247.49;562.20,246.72;562.96,244.44;563.72,244.44;563.72,243.68;564.48,242.92;564.48,242.16;565.24,241.40;566.00,240.64;566.76,239.88;566.76,239.12;566.76,238.36;566.76,237.60;566.76,236.83;566.76,236.07;566.76,235.31;566.76,234.55;566.76,233.03;566.76,231.51;566.76,230.75;566.76,229.99;566.76,229.23;567.52,229.23;567.52,227.70;567.52,226.94;567.52,224.66;567.52,223.14;567.52,221.62;568.28,220.86;568.28,217.81;568.28,217.05;568.28,214.77;569.04,214.01;569.04,213.25;569.04,211.73;569.04,208.69;569.80,207.92;570.57,204.88;571.33,202.60;572.09,201.84;572.85,198.80;573.61,198.04;575.13,191.95;575.89,190.43;578.93,185.10;578.93,183.58;579.70,182.82;579.70,182.06;579.70,181.30;580.46,181.30;580.46,180.54;580.46,179.78	stroke1/3 
10	/Ink	0.024,0.541,0.11	496.29	483.85	427.79	464.5	531.54	510.64	531.54,510.64;530.86,510.64;529.52,509.29;528.50,508.96;527.83,508.62;526.82,507.61;525.81,506.94;525.47,506.60;524.80,505.93;524.46,504.92;524.46,504.58;523.45,503.90;523.12,503.90;522.78,503.23;522.78,502.89;522.11,502.22;521.77,502.22;521.77,501.88;521.10,501.55;520.76,501.21;520.42,500.87;520.08,500.54;520.08,500.20;519.07,499.53;518.40,499.19;518.40,498.85;517.73,498.52;517.39,498.52;517.39,498.18;516.72,497.84;516.38,497.84;515.71,497.17;515.37,496.83;515.03,496.83;514.70,496.83;514.70,496.50;514.36,496.50;514.36,496.16;514.02,496.16;513.68,496.16;513.68,495.82;513.35,495.82;513.35,495.15;513.01,495.15;513.01,494.81;512.67,494.47;512.67,494.14;512.34,493.80;512.34,493.46;512.00,492.79;512.00,492.45;511.66,492.12;511.66,491.78;511.33,491.78;511.33,491.11;510.99,490.77;510.99,490.43;510.65,490.10;510.65,489.76;510.32,489.76;510.32,489.42;510.32,489.08;509.98,489.08;509.64,489.08;509.64,488.75;509.64,488.41;509.31,488.07;508.63,487.74;508.30,487.40;507.62,487.06;507.28,486.73;506.95,486.73;506.95,486.39;506.61,486.39;505.94,486.05;505.60,486.05;505.60,485.38;505.26,485.38;504.93,485.38;504.59,485.38;504.25,485.04;503.58,484.71;503.24,484.71;502.90,484.71;502.57,484.37;502.23,484.37;502.23,484.03;501.89,484.03;501.56,483.69;501.22,483.69;500.55,483.02;500.55,482.68;500.21,482.68;499.87,482.35;499.87,482.01;499.54,482.01;499.20,481.67;498.86,481.67;498.86,481.34;498.53,481.34;498.19,481.00;497.85,480.33;497.52,479.99;497.18,479.99;497.18,479.65;496.84,479.65;496.17,479.32;496.17,478.98;495.83,478.98;495.50,478.31;495.16,477.97;494.82,477.63;494.48,477.63;494.48,477.29;493.47,476.96;493.47,476.62;493.14,476.62;492.46,476.28;492.46,475.95;491.45,475.27;491.12,475.27;490.78,474.94;490.44,474.60;490.11,474.60;489.43,474.26;488.42,473.93;487.75,473.59;487.75,473.25;487.41,472.58;487.07,472.58;486.40,472.58;486.06,472.58;485.73,472.24;485.05,472.24;485.05,471.90;484.04,471.90;483.70,471.57;483.37,471.23;482.36,470.89;481.68,470.22;481.35,470.22;481.01,470.22;480.00,469.55;479.66,469.55;477.64,468.87;476.97,468.87;475.28,468.54;474.95,468.20;473.60,467.53;472.93,467.53;471.24,467.19;469.56,467.19;469.56,466.85;468.55,466.52;467.54,466.52;466.19,466.18;465.52,466.18;461.81,465.50;459.12,464.83;454.40,464.83;453.05,464.83;449.35,464.83;446.32,464.83;442.61,464.83;439.58,464.83;437.89,464.83;433.85,464.83;432.17,464.83;431.16,464.83;429.81,464.83;429.14,464.50;428.80,464.50;428.46,464.50;428.13,464.50;427.79,464.50	stroke2/3 
10	/Ink	0.024,0.541,0.11	589.56	438.98	576.0	417.56	606.88	466.4	576.00,417.56;576.56,419.81;576.56,420.37;576.56,420.93;577.12,421.49;577.68,422.05;578.25,422.61;579.37,422.61;579.37,423.18;579.93,423.18;579.93,423.74;579.93,424.30;580.49,424.30;581.05,424.86;581.61,425.98;581.61,426.54;581.61,427.11;582.17,427.11;582.74,427.11;583.30,428.23;583.86,428.23;583.86,428.79;584.42,428.79;584.42,429.91;584.98,429.91;585.54,429.91;585.54,430.47;585.54,431.04;585.54,431.60;586.11,431.60;586.67,431.60;586.67,432.16;587.23,432.16;587.23,432.72;587.79,432.72;588.35,432.72;588.35,433.28;588.91,434.40;588.91,434.96;589.47,435.53;589.47,436.09;589.47,436.65;590.03,437.21;590.03,438.33;590.03,438.89;590.03,439.46;590.03,440.02;590.03,440.58;590.60,441.70;591.72,441.70;591.72,443.39;591.72,443.95;591.72,444.51;592.84,445.63;593.40,447.32;593.97,449.00;594.53,449.00;595.09,451.25;596.77,452.93;596.77,453.49;597.89,455.74;599.02,456.86;599.02,457.42;599.58,457.98;600.70,459.11;601.26,459.67;601.83,460.23;602.39,460.79;603.51,462.47;604.07,463.04;605.19,464.16;605.19,464.72;605.75,465.28;606.32,465.84;606.88,465.84;606.88,466.40	stroke3/3 
10	/Popup		1100.0	344.98						
11	/Text	0.588,0.263,0.988	687.99	500.16						mixed
11	/Popup		1100.0	534.16						
11	/Text	0.588,0.263,0.988	418.34	415.5						in
11	/Popup		1100.0	449.5						
11	/Text	0.588,0.263,0.988	389.88	226.96						mixed
11	/Popup		1100.0	260.96						
11	/Ink	0.024,0.541,0.11	425.67	276.04	388.75	241.92	461.02	313.43	388.75,313.43;391.03,312.67;391.03,311.91;393.31,310.39;394.83,309.63;396.35,306.58;397.88,304.30;398.64,303.54;398.64,302.78;399.40,302.02;400.16,299.74;400.92,299.74;401.68,298.22;402.44,297.45;402.44,296.69;402.44,295.93;403.96,294.41;404.72,294.41;404.72,293.65;406.24,293.65;406.24,292.89;407.00,292.89;408.52,292.13;408.52,291.37;408.52,290.61;409.29,290.61;410.05,290.61;410.05,289.85;411.57,289.09;413.09,288.33;413.85,288.33;413.85,287.56;414.61,287.56;415.37,287.56;416.89,286.04;417.65,286.04;418.42,286.04;419.18,284.52;419.18,283.76;419.94,283.76;421.46,283.00;421.46,282.24;423.74,280.72;424.50,279.96;425.26,279.20;426.78,277.68;426.78,276.92;427.54,276.15;428.31,274.63;429.07,273.87;430.59,271.59;431.35,270.83;431.35,270.07;432.11,269.31;434.39,267.02;435.15,266.26;435.15,265.50;435.91,264.74;435.91,263.98;436.67,263.22;436.67,262.46;437.43,261.70;438.19,261.70;438.19,260.94;439.72,260.18;439.72,259.42;440.48,259.42;441.24,258.66;442.00,258.66;443.52,257.90;444.28,257.13;445.04,257.13;445.04,256.37;445.80,256.37;446.56,256.37;446.56,255.61;447.32,255.61;447.32,254.85;448.08,254.85;448.08,254.09;448.85,254.09;448.85,253.33;449.61,253.33;451.89,251.05;452.65,249.53;455.69,247.25;457.98,245.72;458.74,244.20;459.50,243.44;460.26,242.68;460.26,241.92;461.02,241.92	stroke1/1 
11	/Popup		1100.0	359.43						
12	/Text	0.588,0.263,0.988	658.82	522.93						in
12	/Popup		1100.0	556.93						
12	/Text	0.588,0.263,0.988	394.86	460.32						out
12	/Popup		1100.0	494.32						
12	/Text	0.588,0.263,0.988	425.46	288.86						out
12	/Popup		896.67	331.71						
12	/Text	0.588,0.263,0.988	585.54	296.68						out
12	/Popup		896.67	339.53						
12	/Text	0.588,0.263,0.988	629.65	353.6						out
12	/Popup		896.67	396.45						
12	/Text	0.588,0.263,0.988	480.24	428.3						out
12	/Popup		1100.0	462.3						
12	/Ink	0.024,0.541,0.11	667.58	442.35	636.75	436.67	706.74	448.08	636.75,436.67;637.51,436.67;638.27,436.67;638.27,437.43;639.03,437.43;639.79,438.19;640.56,438.19;642.08,438.19;642.08,438.96;642.84,438.96;643.60,439.72;644.36,439.72;644.36,440.48;645.12,440.48;645.88,440.48;645.88,441.24;647.40,441.24;648.16,441.24;648.92,441.24;649.68,441.24;650.45,441.24;651.21,441.24;651.97,441.24;653.49,441.24;654.25,441.24;655.01,441.24;655.77,441.24;656.53,441.24;657.29,441.24;658.81,441.24;659.58,441.24;660.34,441.24;661.10,441.24;661.86,441.24;662.62,441.24;663.38,441.24;664.90,441.24;665.66,441.24;666.42,441.24;667.18,441.24;667.94,441.24;668.70,441.24;669.46,441.24;670.23,441.24;670.99,441.24;671.75,441.24;672.51,441.24;674.03,442.00;674.79,442.00;675.55,442.00;676.31,442.76;677.07,442.76;677.83,442.76;678.59,443.52;679.35,443.52;680.12,443.52;682.40,444.28;683.16,444.28;683.92,444.28;685.44,445.04;686.96,445.80;689.24,445.80;690.00,445.80;693.05,446.56;693.81,446.56;694.57,446.56;699.13,448.08;699.89,448.08;700.65,448.08;701.42,448.08;702.94,448.08;703.70,448.08;704.46,448.08;705.22,448.08;705.98,448.08;706.74,448.08	stroke1/6 
12	/Ink	0.024,0.541,0.11	355.28	420.86	324.84	404.72	385.7	445.8	324.84,445.80;324.84,445.04;324.84,444.28;325.60,442.76;327.88,438.96;330.17,438.19;332.45,435.91;333.21,434.39;333.97,433.63;336.25,432.87;336.25,432.11;337.01,430.59;337.77,430.59;338.54,429.83;339.30,429.07;340.06,428.31;340.06,427.54;341.58,426.78;342.34,426.78;342.34,426.02;343.10,426.02;344.62,424.50;346.14,422.98;346.90,422.22;347.67,422.22;348.43,422.22;349.19,422.22;349.19,421.46;349.95,421.46;351.47,420.70;351.47,419.94;352.99,419.94;353.75,419.94;354.51,419.18;355.27,419.18;356.03,418.42;356.79,418.42;359.08,418.42;359.84,417.65;360.60,417.65;361.36,416.89;362.12,416.89;362.88,416.13;365.16,415.37;365.92,415.37;367.44,414.61;368.97,413.85;369.73,413.09;370.49,413.09;372.01,410.81;372.77,410.81;373.53,410.81;374.29,410.81;376.57,409.29;377.33,409.29;378.86,408.52;379.62,408.52;379.62,407.76;381.90,407.00;383.42,407.00;383.42,405.48;384.18,405.48;384.94,405.48;384.94,404.72;385.70,404.72	stroke2/6 
12	/Ink	0.024,0.541,0.11	412.87	482.41	369.73	441.24	445.04	524.16	369.73,524.16;371.25,523.40;372.77,522.64;372.77,521.88;374.29,521.12;374.29,518.84;375.81,517.31;377.33,515.79;378.10,515.03;379.62,511.99;379.62,511.23;380.38,510.47;381.90,508.94;382.66,508.94;383.42,508.94;383.42,508.18;384.18,506.66;384.94,506.66;385.70,506.66;385.70,505.90;387.22,505.14;388.75,504.38;388.75,503.62;389.51,503.62;390.27,502.86;390.27,502.10;391.79,500.58;393.31,499.82;394.07,499.82;394.83,499.82;394.83,499.06;395.59,499.06;396.35,498.29;397.11,498.29;398.64,497.53;399.40,496.77;400.16,496.77;400.92,496.01;402.44,495.25;402.44,494.49;403.20,494.49;404.72,494.49;404.72,493.73;405.48,493.73;406.24,493.73;406.24,492.97;407.00,492.97;407.00,492.21;407.76,492.21;408.52,492.21;410.05,491.45;410.81,491.45;410.81,490.69;410.81,489.93;412.33,488.40;413.85,486.88;414.61,486.88;414.61,486.12;415.37,486.12;416.13,485.36;416.89,483.84;417.65,483.08;418.42,482.32;418.42,481.56;418.42,480.80;419.18,480.04;419.94,480.04;420.70,478.51;420.70,477.75;421.46,477.75;422.22,476.99;422.22,476.23;422.98,476.23;422.98,475.47;422.98,474.71;423.74,474.71;424.50,473.19;425.26,471.67;425.26,470.91;426.02,470.91;426.02,470.15;426.78,470.15;427.54,468.62;428.31,468.62;428.31,467.86;429.07,467.10;429.07,466.34;429.07,465.58;429.83,465.58;429.83,464.82;430.59,464.82;430.59,464.06;431.35,463.30;432.87,461.78;433.63,461.78;434.39,461.78;435.15,461.02;435.15,460.26;435.91,459.50;436.67,457.98;438.19,456.45;438.19,455.69;438.96,454.93;438.96,454.17;438.96,453.41;438.96,452.65;439.72,451.89;439.72,450.37;440.48,449.61;441.24,448.85;441.24,448.08;442.00,445.80;442.76,445.04;443.52,444.28;443.52,443.52;444.28,443.52;444.28,442.76;445.04,442.76;445.04,442.00;445.04,441.24	stroke3/6 
12	/Ink	0.024,0.541,0.11	363.45	354.16	333.97	339.3	399.4	376.57	399.40,376.57;397.88,375.81;394.83,372.77;393.31,372.77;390.27,368.97;387.22,367.44;384.94,365.92;382.66,363.64;380.38,362.88;378.10,361.36;378.10,360.60;376.57,359.84;375.05,359.08;372.77,356.79;371.25,355.27;370.49,355.27;369.73,355.27;367.44,354.51;367.44,353.75;365.16,352.99;362.12,351.47;361.36,350.71;359.08,350.71;358.32,349.95;354.51,348.43;353.75,348.43;351.47,347.67;349.95,347.67;346.90,346.14;343.86,344.62;341.58,343.86;340.06,343.10;337.77,342.34;337.01,342.34;335.49,341.58;335.49,340.82;334.73,340.82;333.97,340.82;333.97,339.30	stroke4/6 
12	/Ink	0.024,0.541,0.11	549.83	289.06	546.22	243.44	559.15	332.45	553.83,332.45;553.07,331.69;553.07,330.93;552.31,328.65;552.31,327.88;551.55,327.12;551.55,326.36;550.03,324.08;548.50,322.56;548.50,321.80;547.74,319.52;546.98,318.00;546.98,317.24;546.98,316.47;546.22,314.19;546.22,313.43;546.22,312.67;546.22,311.91;546.22,310.39;546.22,309.63;546.22,308.87;546.22,308.11;546.22,307.35;546.22,306.58;546.22,305.06;546.22,304.30;546.22,303.54;546.22,302.78;546.22,302.02;546.22,301.26;546.22,298.98;546.22,298.22;546.22,297.45;546.22,296.69;546.22,295.93;546.22,295.17;546.22,293.65;546.22,292.89;546.22,292.13;546.22,291.37;546.22,289.85;546.22,289.09;546.22,286.81;546.22,286.04;546.98,285.28;546.98,284.52;547.74,281.48;547.74,279.96;547.74,278.44;547.74,276.15;547.74,275.39;547.74,273.87;549.26,271.59;549.26,270.07;550.03,267.79;550.03,267.02;550.79,265.50;550.79,264.74;551.55,263.98;552.31,263.22;552.31,262.46;553.07,261.70;554.59,258.66;555.35,257.90;556.11,256.37;556.11,254.09;556.87,251.81;557.63,251.81;557.63,251.05;557.63,250.29;559.15,247.25;559.15,246.49;559.15,245.72;559.15,244.96;559.15,244.20;559.15,243.44	stroke5/6 
